# Accelerometer Data File
# Started @Tue Jun 13 17:39:34 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.389 4.543 7.786 3
1.35 4.509 7.812 2
1.257 4.593 7.685 3
1.204 4.641 7.637 2
1.039 4.608 7.494 3
0.893 4.725 7.367 2
0.893 4.646 7.24 3
0.84 4.646 7.125 2
0.95 4.653 7.017 3
1.092 4.56 6.694 2
1.365 4.61 6.377 3
1.777 4.6 6.025 2
2.239 4.509 5.918 3
2.852 4.519 5.604 2
3.163 4.452 5.367 3
3.18 4.368 5.285 3
3.111 4.306 5.103 2
2.756 4.342 5.089 3
2.277 4.306 5.017 2
1.892 4.414 4.916 3
1.568 4.497 4.919 2
1.458 4.619 5.122 3
1.36 4.715 5.34 2
1.47 4.713 5.448 3
1.714 4.718 5.93 2
1.865 4.768 6.308 3
1.98 4.766 6.634 2
1.642 4.495 6.892 3
1.918 4.435 7.175 2
2.102 4.229 7.223 3
2.39 3.987 7.242 2
2.474 3.815 7.319 3
2.507 3.544 7.501 2
2.442 3.36 7.438 3
2.236 3.206 7.577 2
2.327 3.07 7.613 3
2.414 2.967 7.867 2
2.385 2.742 7.747 3
2.325 2.653 7.961 2
2.193 2.701 8.035 3
1.872 2.725 8.087 2
1.743 2.878 8.238 3
1.678 2.349 8.274 2
1.523 2.28 8.293 3
1.31 2.476 8.332 2
1.247 2.694 8.27 3
1.154 2.771 8.128 2
1.429 3.053 8.111 3
1.707 3.108 8.016 2
2.05 3.295 7.939 3
2.577 3.329 7.963 2
3.281 3.439 7.946 3
3.82 3.477 7.783 2
4.351 3.506 7.795 3
4.701 3.353 7.74 2
4.811 3.331 7.69 3
4.739 3.221 7.647 2
4.308 3.214 7.63 3
3.767 3.226 7.642 2
3.182 3.285 7.649 3
2.627 3.324 7.822 3
2.143 3.396 7.807 2
1.87 3.467 7.819 3
1.918 3.465 7.826 2
1.851 3.429 7.884 3
1.999 3.465 7.874 2
2.244 3.52 7.798 3
2.514 3.388 7.771 2
2.854 3.353 7.632 3
3.065 3.259 7.654 2
3.257 3.247 7.465 3
3.218 3.072 7.4 2
3.046 3.041 7.391 3
2.766 3.135 7.297 2
2.524 3.262 7.108 3
2.138 3.283 7.127 2
1.808 3.491 7.05 3
1.19 3.769 7.125 2
0.323 4.095 12.439 3
0.153 4.363 23.238 2
0.019 4.461 19.507 3
-0.534 4.536 10.348 2
-0.895 4.718 6.545 3
-0.862 4.921 5.338 2
-0.622 5.046 5.436 3
-0.354 5.237 6.464 2
-0.124 5.391 7.561 3
0.134 5.585 8.483 2
0.246 5.728 8.878 3
0.165 5.657 8.602 2
0.131 5.7 7.822 3
0.031 5.52 7.163 2
-0.052 5.372 6.6 3
-0.086 5.281 6.191 2
-0.134 5.149 6.013 3
-0.031 5.003 5.874 2
0.069 4.9 5.779 3
0.124 4.833 5.695 2
0.246 4.787 5.728 3
0.34 4.718 5.712 2
0.373 4.584 5.927 3
0.56 4.473 6.083 2
0.629 4.325 6.241 3
0.649 4.277 6.325 2
0.852 4.057 6.394 3
0.972 3.923 6.516 2
1.041 3.75 6.751 3
1.013 3.69 6.962 3
1.144 3.568 7.192 2
1.274 3.582 7.407 3
1.372 3.59 7.831 2
1.42 3.499 8.138 3
1.578 3.458 8.487 2
1.575 3.458 8.938 3
1.535 3.42 9.242 2
1.346 3.35 9.584 3
1.235 3.367 9.867 2
1.13 3.278 10.164 3
0.783 3.144 10.521 2
0.584 2.993 10.698 3
0.385 2.936 10.827 2
0.174 2.83 10.914 3
0.045 2.852 11.026 2
-0.225 2.929 10.851 3
-0.325 2.909 10.935 2
-0.411 2.907 10.859 3
-0.574 2.78 10.808 2
-0.948 2.56 10.629 3
-2.088 0.993 9.896 2
-1.863 0.89 9.8 3
-1.393 1.425 10.269 2
-1.053 1.848 10.432 3
-0.522 2.131 10.55 2
0.007 2.498 10.691 3
0.409 2.756 10.763 2
1.223 3.144 10.705 3
1.733 3.262 10.863 2
2.512 3.101 11.266 3
2.354 3.257 11.096 2
1.911 3.527 11.053 3
1.319 3.748 10.911 2
0.627 3.867 10.688 3
0.11 4.069 10.243 2
-0.495 4.313 9.824 3
-1.037 4.404 9.412 2
-1.137 4.466 9.125 3
-1.334 4.555 8.974 2
-1.422 4.852 8.734 3
-1.671 4.95 8.514 2
-1.865 5.204 8.229 3
-1.997 5.338 8.052 2
-2.059 5.484 7.776 3
-2.105 5.642 7.546 3
-1.961 5.748 7.426 2
-1.829 5.74 7.216 3
-1.652 5.616 7.113 2
-1.58 5.554 7.003 3
-1.47 5.527 7.465 2
-1.774 5.494 6.847 3
-1.987 5.376 6.792 2
-2.277 5.395 6.799 3
-2.55 5.395 6.864 2
-2.847 5.254 6.797 3
-3.046 5.199 6.607 2
-3.24 5.247 6.44 3
-3.154 5.139 6.155 2
-3.041 4.924 6.08 3
-2.909 4.754 5.956 2
-2.876 4.531 5.728 3
-2.797 4.284 5.422 2
-2.981 4.162 5.031 3
-3.032 3.932 5.077 2
-3.302 3.65 5.094 3
-3.611 3.59 4.981 2
-3.702 3.503 4.809 3
-3.982 3.29 4.667 2
-4.038 3.02 4.234 3
-4.042 2.806 4.083 2
-4.042 2.577 3.875 3
-3.939 2.318 3.661 2
-3.827 2.078 3.86 3
-3.762 1.918 3.985 2
-3.824 1.585 4.406 3
-4.227 1.563 4.557 2
-4.706 1.494 4.972 3
-5.067 1.396 5.489 2
-5.549 1.278 5.968 3
-6.025 1.326 6.459 2
-6.476 1.214 6.928 3
-6.73 1.135 7.247 2
-7.153 0.953 7.661 3
-7.486 0.799 7.922 2
-7.786 0.713 8.087 3
-7.735 0.464 8.82 2
-7.556 0.285 9.422 3
-7.309 0.153 10.013 2
-7.125 -0.057 10.602 3
-6.842 -0.232 11.388 3
-6.698 -0.239 12.018 2
-6.591 -0.294 12.549 3
-6.526 -0.411 12.921 2
-6.298 -0.486 13.285 3
-6.047 -0.546 13.462 2
-5.829 -0.677 13.426 3
-5.465 -0.845 13.457 2
-5.273 -0.926 13.574 3
-5.156 -0.852 13.546 2
-5.166 -0.785 13.699 3
-5.364 -0.598 13.733 2
-5.585 -0.438 13.962 3
-5.692 -0.306 14.101 2
-6.068 -0.184 14.152 3
-6.162 0.055 14.267 2
-6.425 0.153 14.327 3
